ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	89/1327	361/18670	5.40134586109129e-26	2.5951011705334e-23	2.5951011705334e-23	ERCC1/FOXP3/BCL3/NFKB2/CEACAM1/P2RX7/ICAM1/SLA2/CD40LG/JAK3/ULBP1/CR2/IGLL1/NECTIN2/CD27/FAM49B/CXCL13/AIRE/HPRT1/FADD/STAT3/INPP5D/GZMM/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	89
BP	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	53/1327	139/18670	1.21492701697673e-25	4.93914560363231e-23	4.93914560363231e-23	HSP90AA1/LIMK1/CRK/PTK2/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHG4/IGHG2/IGHG1/IGHG3/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/ARPC1A/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	53
BP	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	53/1327	139/18670	1.21492701697673e-25	4.93914560363231e-23	4.93914560363231e-23	HSP90AA1/LIMK1/CRK/PTK2/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHG4/IGHG2/IGHG1/IGHG3/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/ARPC1A/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	53
BP	GO:0038094	Fc-gamma receptor signaling pathway	53/1327	142/18670	4.05514052540816e-25	1.53081554834158e-22	1.53081554834158e-22	HSP90AA1/LIMK1/CRK/PTK2/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHG4/IGHG2/IGHG1/IGHG3/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/ARPC1A/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	53
BP	GO:0002431	Fc receptor mediated stimulatory signaling pathway	53/1327	145/18670	1.30378786534877e-24	4.59367924557882e-22	4.59367924557882e-22	HSP90AA1/LIMK1/CRK/PTK2/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHG4/IGHG2/IGHG1/IGHG3/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/ARPC1A/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	53
BP	GO:0006959	humoral immune response	85/1327	356/18670	7.44855427908872e-24	2.46035058531149e-21	2.46035058531149e-21	BCL3/IL7/POU2AF1/IFNG/HRG/CR2/DEFB126/CCR7/IGLL1/BPIFA2/SPINK5/CFHR5/CXCL13/MS4A1/AIRE/PGLYRP2/SPNS2/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/CFHR1/IGKV3-15/IGKV1D-39/IGLL5/IGHV1OR15-1/IGHV3-30/H2BC6/IGKV1D-12/IGHV1-69-2	85
BP	GO:0006910	phagocytosis, recognition	39/1327	84/18670	5.73788937089877e-23	1.78380854854118e-20	1.78380854854118e-20	IGLL1/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	39
BP	GO:0038095	Fc-epsilon receptor signaling pathway	55/1327	169/18670	1.15618454476215e-22	3.39468628837108e-20	3.39468628837108e-20	PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/PSMD9/ITK/TEC/PSMC2/CALM1/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	55
BP	GO:0050853	B cell receptor signaling pathway	47/1327	129/18670	6.64186768143153e-22	1.84748793138766e-19	1.84748793138766e-19	CD79B/CBFB/CD79A/ITK/FOXP1/IGLL1/TEC/BLK/MS4A1/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	47
BP	GO:0038093	Fc receptor signaling pathway	64/1327	241/18670	7.88307308872621e-21	2.0831020636959e-18	2.0831020636959e-18	HSP90AA1/PSMD8/PSMC6/PSMC1/PSMB5/PSMD10/PSMD7/LIMK1/PSMD9/ITK/TEC/PSMC2/CRK/PTK2/CALM1/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHG4/IGHG2/IGHG1/IGHG3/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/ARPC1A/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	64
BP	GO:0006909	phagocytosis	80/1327	369/18670	9.75356846585852e-20	2.45464806390773e-17	2.45464806390773e-17	RHOBTB1/ICAM3/HSP90AA1/P2RX7/CORO1A/LIMK1/IFNG/IGLL1/PIP5K1A/CRK/PTK2/XKR6/MYD88/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/ARPC1A/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	80
BP	GO:0002377	immunoglobulin production	55/1327	193/18670	1.28075453554916e-19	3.0767216910806e-17	3.0767216910806e-17	ERCC1/FOXP3/CD40LG/MZB1/TNFRSF4/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV4-69/IGLV4-60/IGLV6-57/IGLV10-54/IGLV5-52/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV1-36/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-22/IGLV3-19/IGLV2-18/IGLV3-16/IGLV2-14/IGLV2-11/TRAV19/TRDV1/TRAV38-1/IGLV9-49/IGKV3D-15/IGKV3D-7/IGKV2D-30/IGKV1D-8/IGKV1-6/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV2-24/IGKV1-9/IGKV1-39/IGKV2D-28/IGKV1D-43/IGKV1D-17/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGKV1-13/IGKV1D-12	55
BP	GO:0010324	membrane invagination	44/1327	135/18670	2.0038657441547e-18	4.5936799938609e-16	4.5936799938609e-16	RHOBTB1/IGLL1/CHMP2A/XKR6/AURKB/SMURF1/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	44
BP	GO:0006911	phagocytosis, engulfment	41/1327	118/18670	2.08606092436446e-18	4.5936799938609e-16	4.5936799938609e-16	RHOBTB1/IGLL1/XKR6/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	41
BP	GO:0099024	plasma membrane invagination	42/1327	127/18670	6.50431718680318e-18	1.37501265329019e-15	1.37501265329019e-15	RHOBTB1/IGLL1/XKR6/AURKB/IGKC/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGLL5/IGHV1OR15-1/IGHV3-30/IGHV1-69-2	42
